userName,score,at,content,type
Rin.,5,3/20/2024 7:41,"Overall udah good, gameplay nya asik ditambah story yang bagus bisa bikin ketagihan berjam jam buat mainin nya, cuman satu kendala sih yg mungkin perlu kalian para developer perhatiin, optimalisasi buat game ini masih kurang ya, main 1 jam itu kadang panas banget ni hp kadang juga cuman anget, pengaturan grafik udah disesuaikan tapi sama saja, mungkin kedepannya bisa di optimalkan lagi buat beberapa jenis dan model hp, untuk di hp ku F5 aman"" aja cuman ya itu masalah panas nya harus di fix🙌",Positif
mitha,5,2/21/2024 9:08,"game nya bagus + keren! (wlpun trun base gamenya ngasih kesan yang berbeda, dan bikin jadi menarik), dari segi grafik, story, dan karakternya juga cakep² semua (apalagi bagian ngasih hadiah hehe), tapi.. kadang di bagian alur cerita ada beberapa lag dan juga musik nya yang ikutan patah² jadi kurang puas, dan bbrp kejadian lainnya, yahh.. walaupun terjadi beberapa kendala, game ini overall oke banget!",Positif
Aya丸山,5,2/12/2024 22:59,"Turn Base tapi bisa Eksplore dunia yang luas dengan banyak misi, teka-teki dan grafik yang bagus. Untuk cari equipment dan material gk sulit, Reward melimpah, Event disini seru-seru dan Storynya juga gk kalah bagus. Info : V2.0 FULL SIZE 19GB.",Positif
Samuel Manalu,4,2/13/2024 10:26,"Untuk gamenya udh bagus dari segi story juga udh lumayan ramah f2p (menurut saya)cuma masih ada beberapa bug untuk sebagian hp seperti dinding yang menghilang, lantai yang menghilang,gameplay yang lag atau patah patah,animation yang patah patah walau grafik sudah dikecilkan sampai tingkat yang terendah tetap tidak ada perubahan... Saya harap ini hanya sekedar bug saja dan akan segera di fix TERIMAKASIH",Positif
Ozzol Thefox,5,2/6/2024 2:44,"Lumayan rekomended sih nih game, udah sekelas game final fantasy lupa gua yg keberapa yg jelas final fantasy ps 2. Alur ceritanya, ditambah ada option pas masuk ceritannya. Ga nyesel, udah ngabisin 20gb. Walau masih setting low grafik, tapi ya masih bisa lah.",Positif
Xluvod,5,3/6/2024 11:34,"Game bagus, ada fitur auto battle membuat kita bisa ngerjain hal lain di dunia nyata atau melakukan sesuatu sambil mencari bahan di dalam game untuk memperkuat karakter. Bisa skip cerita/dialog yang kalian udah baca atau tonton. Gamenya gak harus keluarin duit buat dapet karakter bagus. Musiknya bagus, dunianya bagus, ceritanya bagus, karakternya juga bagus. Kekurangannya kalau di hp saya mediatek helio g80, ram 6, itu kadang suka force close saat hendak bertarung yang muncul kaca2 retak.",Positif
gw patli,3,3/8/2024 13:02,Maaf aku kurangi untuk bintang nya dari 5 ke 3.kadang pas dialog ada pilihan kalimat kadang bisa kena bug gak bisa di pencet.untuk mengatasi itu saya terpaksa harus res start kembali dan itu membuat saya sangat tidak nyaman dengan login ulang. Entah hp saya yang kurang suport atau apa lah ram 6 masa gak bisa? Mungkin itu aja kendala nya yang lain udah bagus alur cerita oke grafik oke,Netral
Pengguna Google,3,3/22/2024 3:45,"Tolong perbaiki untuk tampilan saat bagian loding itu Animasi gambar Kereta nya sangat Berat🗿,tapi di dalam game lancar dengan settingan paling rendah 🗿,saya harap untuk meringankan tampilan bagian login nya🗿🙏",Netral
Ahmad Habibi,4,3/13/2024 5:22,"game nya sudah bagus,dari segi grafik cukup ok,tapi tolong di bagian cutscene ada pengaturan resolusi agar memberikan visual yg cocok untuk player dengan device rendah,untuk yg lain nya sudah bagus.berjaya terus game baik🥰",Positif
Veryuuki Kusanagi,4,2/23/2024 15:30,"Ini game dari semua aspek bagus banget sih dari character, gameplay,story,event, perfect banget cuma satu permasalahan tolong bahan buat upgrade relic dipermudah kami butuh batu buat upgrade tolong lah",Positif
Ikhwan Lathif,1,3/3/2024 22:28,"Update kali ini parah banget sih, padahal sebelum update masih ok² aja, tapi setalah update jadi sering ngecrash pas lagi battle. Contohnya pas lagi main MoC suka tiba² ngecrash pas lagi animasi skill/ultimate karakter. Awal² ngira hpku yang bermasalah padahal baru beli blom ada setahun,udh instal ulang tapi masih bermasalah, tapi setelah coba² game lain gak ada masalah. Ku udh main di 30fps rata kiri padahal.Di genshin aja ku coba main di 60fps rata kanan beberapa jam masih kuat tanpa ngecrash.",Negatif
