userName,score,at,content
Rin.,5,2024-03-20 07:41:02,"Overall udah good, gameplay nya asik ditambah story yang bagus bisa bikin ketagihan berjam jam buat mainin nya, cuman satu kendala sih yg mungkin perlu kalian para developer perhatiin, optimalisasi buat game ini masih kurang ya, main 1 jam itu kadang panas banget ni hp kadang juga cuman anget, pengaturan grafik udah disesuaikan tapi sama saja, mungkin kedepannya bisa di optimalkan lagi buat beberapa jenis dan model hp, untuk di hp ku F5 aman"" aja cuman ya itu masalah panas nya harus di fix🙌"
mitha,5,2024-02-21 09:08:43,"game nya bagus + keren! (wlpun trun base gamenya ngasih kesan yang berbeda, dan bikin jadi menarik), dari segi grafik, story, dan karakternya juga cakep² semua (apalagi bagian ngasih hadiah hehe), tapi.. kadang di bagian alur cerita ada beberapa lag dan juga musik nya yang ikutan patah² jadi kurang puas, dan bbrp kejadian lainnya, yahh.. walaupun terjadi beberapa kendala, game ini overall oke banget!"
Aya丸山,5,2024-02-12 22:59:57,"Turn Base tapi bisa Eksplore dunia yang luas dengan banyak misi, teka-teki dan grafik yang bagus. Untuk cari equipment dan material gk sulit, Reward melimpah, Event disini seru-seru dan Storynya juga gk kalah bagus. Info : V2.0 FULL SIZE 19GB."
Samuel Manalu,4,2024-02-13 10:26:50,"Untuk gamenya udh bagus dari segi story juga udh lumayan ramah f2p (menurut saya)cuma masih ada beberapa bug untuk sebagian hp seperti dinding yang menghilang, lantai yang menghilang,gameplay yang lag atau patah patah,animation yang patah patah walau grafik sudah dikecilkan sampai tingkat yang terendah tetap tidak ada perubahan... Saya harap ini hanya sekedar bug saja dan akan segera di fix TERIMAKASIH"
Ozzol Thefox,5,2024-02-06 02:44:05,"Lumayan rekomended sih nih game, udah sekelas game final fantasy lupa gua yg keberapa yg jelas final fantasy ps 2. Alur ceritanya, ditambah ada option pas masuk ceritannya. Ga nyesel, udah ngabisin 20gb. Walau masih setting low grafik, tapi ya masih bisa lah."
Xluvod,5,2024-03-06 11:34:42,"Game bagus, ada fitur auto battle membuat kita bisa ngerjain hal lain di dunia nyata atau melakukan sesuatu sambil mencari bahan di dalam game untuk memperkuat karakter. Bisa skip cerita/dialog yang kalian udah baca atau tonton. Gamenya gak harus keluarin duit buat dapet karakter bagus. Musiknya bagus, dunianya bagus, ceritanya bagus, karakternya juga bagus. Kekurangannya kalau di hp saya mediatek helio g80, ram 6, itu kadang suka force close saat hendak bertarung yang muncul kaca2 retak."
gw patli,3,2024-03-08 13:02:22,Maaf aku kurangi untuk bintang nya dari 5 ke 3.kadang pas dialog ada pilihan kalimat kadang bisa kena bug gak bisa di pencet.untuk mengatasi itu saya terpaksa harus res start kembali dan itu membuat saya sangat tidak nyaman dengan login ulang. Entah hp saya yang kurang suport atau apa lah ram 6 masa gak bisa? Mungkin itu aja kendala nya yang lain udah bagus alur cerita oke grafik oke
Pengguna Google,3,2024-03-22 03:45:36,"Tolong perbaiki untuk tampilan saat bagian loding itu Animasi gambar Kereta nya sangat Berat🗿,tapi di dalam game lancar dengan settingan paling rendah 🗿,saya harap untuk meringankan tampilan bagian login nya🗿🙏"
Ahmad Habibi,4,2024-03-13 05:22:52,"game nya sudah bagus,dari segi grafik cukup ok,tapi tolong di bagian cutscene ada pengaturan resolusi agar memberikan visual yg cocok untuk player dengan device rendah,untuk yg lain nya sudah bagus.berjaya terus game baik🥰"
Veryuuki Kusanagi,4,2024-02-23 15:30:42,"Ini game dari semua aspek bagus banget sih dari character, gameplay,story,event, perfect banget cuma satu permasalahan tolong bahan buat upgrade relic dipermudah kami butuh batu buat upgrade tolong lah"
Ikhwan Lathif,1,2024-03-03 22:28:26,"Update kali ini parah banget sih, padahal sebelum update masih ok² aja, tapi setalah update jadi sering ngecrash pas lagi battle. Contohnya pas lagi main MoC suka tiba² ngecrash pas lagi animasi skill/ultimate karakter. Awal² ngira hpku yang bermasalah padahal baru beli blom ada setahun,udh instal ulang tapi masih bermasalah, tapi setelah coba² game lain gak ada masalah. Ku udh main di 30fps rata kiri padahal.Di genshin aja ku coba main di 60fps rata kanan beberapa jam masih kuat tanpa ngecrash."
Atifa Kai (Kai),5,2024-03-23 00:26:37,"Overall game ini bagus banget story nya menarik tapi kadang kalo ada cutscene suka patah patah tapi dari gameplaynya, grafik udah bagus kekurangannya cuman patah patah dan kalo di mainin kurang lebih 2 jam hpnya jadi panas but overall game ini bagus kok"
Andika Pratama,4,2024-03-07 01:24:04,"Saya suka game ini.dari segi gameplay,detail karakter,tampilan grafik,dan yang paling penting game ini ramah untuk palyer f2p kayak saya.intinya ini game sangat cocok untuk dimainkan di waktu luang,soalnya gameplay-nya yang simpel dan nggak bikin pusing terusjuga untuk sistem gachanya udah ok walaupun agak Susah tapi kalo menurut saya itu udah ok sih.untuk kekurangannya tolong kestabilan jaringan dan untuk farming relicnya di permudah.itu aja dari saya,thanks."
Ganyu,4,2024-03-16 10:10:47,"Gamenya seru banget.Ceritanya yang agak bingung tapi seru(karena sering skip,hehe)pokoknya seru dah.Tapi,hp ku ga kuat.Padahal hp Masi baru,udah gitu ram 16.Pas main make grafik tinggi aja udah patah²,jadinya saya make yang grafik sedang.Kasi penjelasan dong kenapa kok masih patah²?Terima kasih."
Abd Rahmat,4,2024-03-20 23:29:57,"Entah kenapa kadang kadang ada animasi yang ngebug, mungkin gara gara device saya. Tapi saya kurang nyaman kalau memainkannya apa lagi ketika saya memainkan misi di dunia mimpi, saya stuck di peluncur bola. Mohon untuk di perbaiki"
True Sky Ace,5,2024-02-12 15:54:13,"grafisnya yang memukau, gameplay yang seru, dan cerita yang mendalam. beragam karakter dengan desain yang menarik dan kemampuan unik. Sistem pertarungan yang strategis dan banyaknya konten juga membuatnya menarik untuk dimainkan. Overall, Honkai Star Rail menawarkan pengalaman gaming yang memuaskan dan layak dicoba."
Aryasatya Wicaksono,3,2024-02-20 01:45:56,Game ini sudah bagus tapi memiliki beberapa kekurangan misal cutscene dalam game tiba-tiba menjadi patah patah dan juga tiba-tiba dalam awal pertarungan mengalami crash atau force close sebelum update 2.0 tidak pernah terjadi crash sebelumnya. Dalam game ini mungkin bisa ditambahkan fitur login perbulanan buat player gratis.
Damo Ecle,3,2024-02-23 03:36:13,"Secara overall gamenya bagus hanya ada bug dimana game crash secara konstan ketika mengubah setting grafik dari very low ke very high. Sebelumnya saya memainkan dengan setting very high tidak memiliki masalah apapun, namun ketika saya mencoba untuk mengubah setelan grafik dari very high ke very low game saya akan crash sesaat ketika masuk dan saya tidak bisa berbuat apa-apa."
